P00698,855
P61769,811
P00918,797
P00720,707
P11838,531
P00760,503
P24941,410
P00734,405
P56817,390
P06746,369
P04439,348
O60885,346
P42212,346
P02766,322
Q5SLP8,321
P17291,311
Q6PJP8,311
P32379,309
Q5SJ76,309
O95696,308
P21242,308
P21243,308
P23638,308
P23639,308
P40302,308
P40303,308
P02185,307
P80371,307
P80380,307
Q5SHP2,307
P80373,306
P80376,306
P80377,306
Q5SHQ5,306
P0DOY6,305
P22141,305
P23724,305
P25451,305
P30656,305
P30657,305
P38624,305
P80372,305
Q5SHN7,305
Q5SJH3,304
P0DOY7,303
Q5SIH3,303
P03366,302
P80374,301
Q5SLQ0,301
Q5SHN3,300
P07900,299
Q15596,296
P25043,295
P03372,289
P61823,288
P01887,287
P00644,283
P69905,283
P0AEX9,281
P29476,280
Q6B0I6,279
P68871,277
P01308,276
P18031,274
Q9UIF8,261
P68431,260
P12497,238
Q16539,238
P19491,230
P37231,222
P04585,218
P00489,216
Q15788,216
P0CG48,211
P01889,210
P22629,207
P61626,207
P80340,199
P00533,193
P00800,189
P62805,189
P60438,188
P20434,186
P20436,186
P04637,185
P20435,185
P22139,185
P60624,185
P68919,185
P0ADZ0,184
P40422,184
P00431,183
P0A7L8,183
P0ABE7,183
P60493,183
P02413,182
P0A7M6,182
P60422,182
Q5SHP3,182
Q5SHQ6,182
